config,mode,seed,x0_pos_err_x,x0_pos_err_y,x0_pos_err_z,x0_pos_err_norm,x0_vel_err_x,x0_vel_err_y,x0_vel_err_z,x0_vel_err_norm,dv_guess_err_R,dv_guess_err_I,dv_guess_err_C,dv_guess_err_norm,t_star_guess_err
deltaRIC0,BLS-B,1,1216.5821887568043,859.6656112931041,-745.7766326203762,1665.9171561043574,-1.9523521565942057,-1.6476764198509941,0.16606751284602522,2.5600966674549417,,,,,
deltaRIC0,BLS-B,2,1802.0962537381306,-801.9127964984071,-57.0996389527044,1973.2905031174273,-1.0375382926516563,0.08240205575838278,0.9779841803584377,1.4281907661594395,,,,,
deltaRIC0,BLS-B,6,1745.3232576153637,2911.8294840419585,-1804.6818412812113,3844.708150947131,0.24215699477809455,0.5376251020390141,-0.4787975762774286,0.7595576867569431,,,,,
deltaRIC0,BLS-B,5,-190.03111495028307,582.3024031934638,1455.0739745828353,1578.742596157594,-0.5912917875659108,-0.688195688995287,-0.17097050326239338,0.923293126466554,,,,,
deltaRIC0,BLS-B,3,-1397.7013166015206,-1661.8038492384965,915.1253985125416,2356.398841193113,-1.3711735634462272,-0.6317779487980174,-0.12129710407952085,1.5145868430497254,,,,,
deltaRIC0,BLS-B,4,-562.7965914257072,566.7659041223603,-583.8517815069617,989.3667147043527,-0.5340735545629803,0.9366861153776486,0.1395914832897364,1.087244785056169,,,,,
deltaRIC0,BLS-B,7,-100.35080006369819,-834.6927434855999,211.26980170447487,866.8432316244904,2.2909461718325397,-0.5387569664728519,1.1166485358888738,2.604917922672414,,,,,
deltaRIC0,BLS-B,9,728.087830032529,-485.40846086522964,-480.63550004970176,998.3705454534678,0.7870212224230648,-0.6338824861949477,1.9008242185236421,2.1527522199674998,,,,,
deltaRIC0,BLS-B,10,-1508.382909275355,2848.074240458545,-1677.5584426661028,3633.3109155036295,-0.1134801413272868,0.11243393268336284,0.13686190133903572,0.21035758063935775,,,,,
deltaRIC0,BLS-B,11,903.8350263082697,483.5902540886392,180.89184314998602,1040.9126512582045,1.7455520527565231,0.5476893639818975,0.005034523288413314,1.829464663426476,,,,,
